932904;0.2903;0.1368;0.7758;-0.3099;-0.0884;-0.9466
956399;0.2931;0.1372;0.7761;-0.3014;-0.0934;-0.9488
983169;0.2959;0.1374;0.7752;-0.2929;-0.0984;-0.951
1007106;0.2987;0.138;0.7748;-0.3019;-0.1051;-0.9475
1033033;0.3014;0.1389;0.7752;-0.3021;-0.1093;-0.9469
1058431;0.3038;0.1396;0.7758;-0.3096;-0.1156;-0.9437
1083322;0.3059;0.1399;0.7761;-0.3086;-0.1212;-0.9433
1106930;0.3078;0.1403;0.7774;-0.3157;-0.1274;-0.9402
1132889;0.3094;0.1409;0.7794;-0.3186;-0.1331;-0.9384
1157702;0.311;0.1413;0.7808;-0.3193;-0.1378;-0.9375
1181989;0.3124;0.1419;0.7828;-0.3177;-0.1422;-0.9374
1208769;0.3135;0.1423;0.7843;-0.3153;-0.1455;-0.9377
1234842;0.3143;0.1424;0.7852;-0.3149;-0.1492;-0.9372
1258480;0.3147;0.1426;0.7863;-0.3151;-0.1526;-0.9367
1283179;0.315;0.1428;0.7874;-0.3106;-0.1546;-0.9378
1308087;0.3152;0.1429;0.7878;-0.3123;-0.1572;-0.9368
1332708;0.3152;0.1428;0.7879;-0.3148;-0.1592;-0.9356
1358687;0.3152;0.1427;0.7879;-0.3157;-0.1598;-0.9352
1384637;0.3151;0.1426;0.7877;-0.3116;-0.1578;-0.937
1409184;0.315;0.1426;0.7882;-0.3174;-0.1575;-0.9351
1433963;0.3152;0.143;0.79;-0.3131;-0.1558;-0.9368
1460012;0.3157;0.1434;0.7921;-0.3162;-0.1555;-0.9358
1482718;0.3165;0.1437;0.7925;-0.3186;-0.1552;-0.935
1508423;0.3173;0.144;0.7925;-0.3272;-0.1549;-0.9321
1533200;0.318;0.1443;0.7931;-0.3247;-0.153;-0.9333
1558401;0.3184;0.1446;0.7929;-0.323;-0.151;-0.9342
1583937;0.3187;0.1449;0.7927;-0.3262;-0.1493;-0.9334
1607354;0.319;0.1452;0.793;-0.3357;-0.1463;-0.9305
1631947;0.3193;0.1452;0.7929;-0.3362;-0.1438;-0.9307
1659471;0.3195;0.1449;0.7923;-0.3397;-0.1416;-0.9297
1685245;0.3197;0.1445;0.7915;-0.3409;-0.1405;-0.9295
1709385;0.3198;0.1444;0.7915;-0.3372;-0.1407;-0.9308
