549479;41
578645;41
613284;40
653833;39
704551;39
732348;41
775725;41
812379;41
855485;41
898455;42
935709;41
974746;41
1012291;41
1054576;41
1092890;41
1137274;41
1171927;41
1212137;41
1250833;40
1292257;40
1332399;40
1373073;40
1412287;41
1452130;42
1495543;42
1536538;43
1571098;43
1612060;42
1652411;42
1696896;42
1732127;41
1773968;41
1814107;41
1851753;41
1891683;41
1933540;41
1971802;41
2011132;42
2051910;42
2092477;43
2131950;42
2172769;43
2211794;43
2257499;43
2292607;39
2331989;39
2376633;39
2410826;38
2451610;38
2496896;38
2531243;38
2571373;40
2611865;39
2651690;39
2696606;41
2732092;42
2770797;42
2811665;41
2851741;41
2892236;41
2936786;41
2975431;40
3011244;40
3051930;42
3092190;43
3131250;44
3172101;43
3211968;44
3252156;44
3296548;44
3333046;43
3373043;43
3416602;44
3452761;46
3495907;46
3533101;46
3572424;44
3612340;43
3651690;40
3692720;40
3735410;37
3772863;40
3812629;40
3852462;38
3892504;37
3932083;37
3971705;36
4011815;37
4052431;34
4092681;34
4131160;33
4172176;36
4213167;33
4251783;33
4292342;32
4336368;33
4376564;33
4411958;34
4455496;33
4491000;34
4532356;34
4574083;33
4611651;30
4651642;31
4696492;31
4732275;32
4772286;32
4816368;33
4851302;32
4892428;34
4932374;32
4972362;35
5012562;35
5051344;34
5092321;31
5131686;31
5171169;33
5216401;34
5251464;33
5292232;33
5332131;32
5371905;32
5412238;31
5456282;33
5491042;31
5530878;34
5571068;32
5610686;33
5651781;31
5690543;31
5731612;28
5771326;27
5811061;27
5851455;28
5890677;28
5931195;28
5971430;26
6011109;26
6056354;27
6092643;28
6130895;27
6172149;28
6211150;28
6255179;28
6290574;27
6330817;29
6371684;29
6411924;29
6450834;25
6492519;24
6531065;24
6572252;25
6616376;25
6656290;26
6692480;25
6730828;24
6771865;23
6816238;24
6852857;23
6892449;25
6930877;24
6975163;23
7011822;25
7051431;25
7093127;26
7131378;26
7171101;24
7211070;24
7250561;25
7292516;27
7330272;28
7371256;31
7416163;30
7450724;28
7491245;25
7530818;27
7570870;26
7610552;22
7651046;23
7692400;26
7730665;27
7778680;29
7812739;30
7851136;30
7891073;28
7936405;27
7971871;26
8010587;27
8051145;27
8091309;28
8130556;28
8171743;29
8213604;25
8254296;25
8289878;24
8331078;25
8370786;25
8411289;27
8450544;27
8492590;29
8530348;32
8570407;36
8617007;37
8650785;37
8690371;35
8730221;34
8777092;36
8811171;39
8850377;39
8890883;41
8931020;39
8971114;39
9010663;38
9051192;37
9090439;33
9130219;32
9171726;34
9210725;36
9249844;36
9290549;35
9331236;36
9371780;36
9410603;35
9455318;34
9495125;34
9531147;36
9569599;35
9611244;37
9649681;34
9692221;35
9734968;35
9771664;35
9813980;35
9850224;33
9892554;32
9930478;33
9969668;27
10010964;29
10054031;27
10091049;30
10130263;28
10170612;28
10210741;31
10250921;35
10290981;34
10329596;34
10369756;33
10410621;34
10454847;30
10492888;27
10531036;28
